node1	node2	combined_score
GRB2	STRN	0.589
GRB2	PRKACB	0.559
GRB2	HRAS	0.938
GSR	HSPA9	0.402
GSR	PDIA6	0.403
GSR	PDHA1	0.467
GSR	SARDH	0.482
GSR	SOD2	0.814
HINT1	RPS3	0.457
HINT1	RPL15	0.444
HINT1	RPS24	0.495
HINT1	RPL7	0.531
HINT1	OPRM1	0.675
HRAS	VCL	0.714
HRAS	PRKACB	0.424
HSPA9	VCL	0.469
HSPA9	SLC25A3	0.545
HSPA9	LRPPRC	0.68
HSPA9	RPS3	0.502
HSPA9	TOMM70	0.942
HSPA9	PSAT1	0.416
HSPA9	PDIA4	0.419
HSPA9	RPS24	0.432
HSPA9	NDUFV2	0.453
HSPA9	PDHA1	0.461
HSPA9	RPLP2	0.462
HSPA9	NUP98	0.479
HSPA9	PDIA6	0.486
HSPA9	RPS2	0.644
HSPA9	SOD2	0.684
LAP3	NPEPPS	0.621
LRPPRC	PDHA1	0.671
MALT1	TRAF6	0.999
NDUFV2	SLC25A3	0.633
NDUFV2	PDHA1	0.432
NDUFV2	SOD2	0.475
NDUFV2	PRKACB	0.655
NIPSNAP2	VAMP3	0.462
OPRM1	PRKACB	0.417
PDHA1	SLC25A3	0.433
PDHA1	RPS3	0.474
PDIA4	PDIA6	0.893
PDIA6	SPCS2	0.438
PDXK	PSAT1	0.445
PRKACB	TRAF6	0.705
PSAT1	SARDH	0.5
PSMC3	RPS3	0.491
PSMC3	PSMG2	0.849
PSMC3	RPL7	0.407
PSMC3	RPS2	0.528
PSMC3	TRAF6	0.452
PSMC3	RPS25	0.431
RAB10	VAMP3	0.431
RAB10	VPS35	0.676
RAB10	RAB14	0.805
RAB14	VAMP3	0.445
RAB14	VPS35	0.533
RPL15	SPCS2	0.473
RPL15	RPS3	0.999
RPL15	RPS24	0.999
RPL15	RPL7	0.999
RPL15	RPS25	0.999
RPL15	RPL37A	0.999
RPL15	RPS15	0.999
RPL15	RPS2	0.999
RPL15	RPLP2	0.999
RPL37A	SPCS2	0.506
RPL37A	RPS3	0.999
RPL37A	RPL7	0.999
RPL37A	RPS2	0.999
RPL37A	RPS24	0.999
RPL37A	RPS25	0.999
RPL37A	RPS15	0.999
RPL37A	RPLP2	0.999
RPL7	SPCS2	0.566
RPL7	RPS3	0.999
RPL7	RPLP2	0.997
RPL7	RPS15	0.999
RPL7	RPS2	0.999
RPL7	RPS25	0.999
RPL7	RPS24	0.999
RPLP2	SPCS2	0.429
RPLP2	RPS3	0.999
RPLP2	RPS2	0.999
RPLP2	RPS24	0.999
RPLP2	RPS25	0.999
RPLP2	RPS15	0.999
RPS15	YBX2	0.442
RPS15	SPCS2	0.405
RPS15	RPS3	0.999
RPS15	RPS2	0.999
RPS15	RPS24	0.999
RPS15	RPS25	0.999
RPS2	YBX2	0.658
RPS2	SPCS2	0.572
RPS2	RPS3	0.999
RPS2	SOD2	0.734
RPS2	RPS24	0.999
RPS2	RPS25	0.999
RPS24	SPCS2	0.444
RPS24	RPS3	0.999
RPS24	RPS25	0.999
RPS25	SLC25A3	0.418
RPS25	SPCS2	0.668
RPS25	RPS3	0.999
RPS3	SPCS2	0.449
SELENBP1	TMOD1	0.467
SLC39A10	SLC39A7	0.404
STRN	VCL	0.691
TOMM70	TRAF6	0.472
